Name,Date,Value,Ud,Set
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2002-08-01,3.44,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2002-09-01,3.236,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2002-10-01,3.126,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2002-11-01,3.017,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2002-12-01,2.873,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2003-01-01,2.705,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2003-02-01,2.504,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2003-03-01,2.411,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2003-04-01,2.447,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2003-05-01,2.252,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2003-06-01,2.014,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2003-07-01,2.076,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2003-08-01,2.279,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2003-09-01,2.258,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2003-10-01,2.303,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2003-11-01,2.41,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2003-12-01,2.381,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2004-01-01,2.216,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2004-02-01,2.163,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2004-03-01,2.055,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2004-04-01,2.163,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2004-05-01,2.297,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2004-06-01,2.404,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2004-07-01,2.361,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2004-08-01,2.302,%,BCE_TIPOS
